出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
"1100421","109","4","2468","華經資訊企業股份有限公司","資訊服務業","0.55","新台幣                 10.0000元","2160998.00","47260.00","450.00","38776.00"
"1100421","109","4","2471","資通電腦股份有限公司","資訊服務業","2.07","新台幣                 10.0000元","773691.00","82395.00","31242.00","97961.00"
"1100421","109","4","2472","立隆電子工業股份有限公司","電子零組件業","5.13","新台幣                 10.0000元","7822322.00","1291257.00","-57532.00","976185.00"
"1100421","109","4","2474","可成科技股份有限公司","其他電子業","27.65","新台幣                 10.0000元","82506032.00","14935168.00","25912021.00","21166068.00"
"1100421","109","4","2476","鉅祥企業股份有限公司","電子零組件業","1.55","新台幣                 10.0000元","4779614.00","537268.00","-3954.00","356967.00"
"1100421","109","4","2477","美隆工業股份有限公司","其他電子業","0.92","新台幣                 10.0000元","3053333.00","139770.00","21830.00","176048.00"
"1100421","109","4","2478","大毅科技股份有限公司","電子零組件業","4.70","新台幣                 10.0000元","5394839.00","766736.00","-64718.00","670135.00"
"1100421","109","4","2480","敦陽科技股份有限公司","資訊服務業","4.68","新台幣                 10.0000元","5542811.00","543421.00","57088.00","497618.00"
"1100421","109","4","2481","強茂股份有限公司","半導體業","2.70","新台幣                 10.0000元","10485100.00","992083.00","39051.00","900541.00"
"1100421","109","4","2482","連宇股份有限公司","其他電子業","-0.50","新台幣                 10.0000元","815658.00","-26047.00","-5255.00","-30775.00"
"1100421","109","4","2483","百容電子股份有限公司","電子零組件業","0.76","新台幣                 10.0000元","1780115.00","23005.00","67559.00","84148.00"
"1100421","109","4","2484","希華晶體科技股份有限公司","電子零組件業","1.02","新台幣                 10.0000元","2590872.00","201628.00","4395.00","161803.00"
"1100421","109","4","2485","兆赫電子股份有限公司","通信網路業","-0.48","新台幣                 10.0000元","7937362.00","-258839.00","84100.00","-156171.00"
"1100421","109","4","2486","一詮精密工業股份有限公司","光電業","-0.75","新台幣                 10.0000元","4197470.00","-47051.00","-83618.00","-156591.00"
"1100421","109","4","2488","漢平電子工業股份有限公司","其他電子業","2.27","新台幣                 10.0000元","1937736.00","176975.00","57283.00","182405.00"
"1100421","109","4","2489","瑞軒科技股份有限公司","光電業","0.68","新台幣                 10.0000元","16747887.00","-556972.00","1297706.00","569570.00"
"1100421","109","4","2491","吉祥全球實業股份有限公司","光電業","1.50","新台幣                 10.0000元","400282.00","148165.00","77601.00","214761.00"
"1100421","109","4","2492","華新科技股份有限公司","電子零組件業","13.66","新台幣                 10.0000元","35599249.00","7913539.00","1121268.00","7217645.00"
